Id,Date,Schl,Loc,Opp,Result,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_PTS,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_PTS
1,2022-11-27,Gonzaga,N,Xavier,W 88-84,200,31,62,.500,18,38,.474,13,24,.542,13,19,.684,88,35,68,.515,27,53,.509,8,15,.533,6,8,.750,84
2,2022-11-25,Gonzaga,N,Portland State,W 102-78,200,38,63,.603,26,39,.667,12,24,.500,14,20,.700,102,26,61,.426,15,36,.417,11,25,.440,15,17,.882,78
3,2022-11-25,Gonzaga,N,Purdue,L 66-84,200,27,67,.403,18,39,.462,9,28,.321,3,4,.750,66,29,61,.475,19,35,.543,10,26,.385,16,22,.727,84
4,2022-11-20,Gonzaga,,Kentucky,W 88-72,200,31,55,.564,24,36,.667,7,19,.368,19,21,.905,88,27,69,.391,21,44,.477,6,25,.240,12,16,.750,72
5,2022-11-16,Gonzaga,@,Texas,L 74-93,200,25,51,.490,16,32,.500,9,19,.474,15,21,.714,74,34,66,.515,21,33,.636,13,33,.394,12,16,.750,93
6,2022-11-11,Gonzaga,N,Michigan State,W 64-63,200,23,55,.418,19,37,.514,4,18,.222,14,22,.636,64,21,52,.404,18,36,.500,3,16,.188,18,28,.643,63
7,2022-11-07,Gonzaga,,North Florida,W 104-63,200,43,67,.642,38,55,.691,5,12,.417,13,16,.813,104,21,59,.356,13,29,.448,8,30,.267,13,22,.591,63
8,2022-03-24,Gonzaga,N,Arkansas,L 68-74,200,24,64,.375,19,43,.442,5,21,.238,15,20,.750,68,29,72,.403,22,47,.468,7,25,.280,9,14,.643,74
9,2022-03-19,Gonzaga,N,Memphis,W 82-78,200,30,58,.517,21,31,.677,9,27,.333,13,24,.542,82,30,70,.429,26,51,.510,4,19,.211,14,20,.700,78
10,2022-03-17,Gonzaga,N,Georgia State,W 93-72,200,36,71,.507,31,53,.585,5,18,.278,16,30,.533,93,23,70,.329,17,54,.315,6,16,.375,20,25,.800,72
11,2022-03-08,Gonzaga,N,Saint Mary's,W 82-69,200,30,52,.577,22,36,.611,8,16,.500,14,18,.778,82,27,57,.474,22,41,.537,5,16,.313,10,12,.833,69
12,2022-03-07,Gonzaga,N,San Francisco,W 81-71,200,32,55,.582,29,42,.690,3,13,.231,14,18,.778,81,24,63,.381,13,29,.448,11,34,.324,12,18,.667,71
13,2022-02-26,Gonzaga,@,Saint Mary's,L 57-67,200,22,60,.367,17,45,.378,5,15,.333,8,9,.889,57,27,61,.443,21,45,.467,6,16,.375,7,8,.875,67
14,2022-02-24,Gonzaga,@,San Francisco,W 89-73,200,34,62,.548,24,42,.571,10,20,.500,11,13,.846,89,27,65,.415,16,43,.372,11,22,.500,8,17,.471,73
15,2022-02-19,Gonzaga,,Santa Clara,W 81-69,200,27,67,.403,15,32,.469,12,35,.343,15,20,.750,81,24,58,.414,18,47,.383,6,11,.545,15,19,.789,69
16,2022-02-16,Gonzaga,@,Pepperdine,W 86-66,200,34,66,.515,30,48,.625,4,18,.222,14,15,.933,86,24,64,.375,18,44,.409,6,20,.300,12,16,.750,66
17,2022-02-12,Gonzaga,,Saint Mary's,W 74-58,200,30,55,.545,24,43,.558,6,12,.500,8,13,.615,74,23,59,.390,18,42,.429,5,17,.294,7,9,.778,58
18,2022-02-10,Gonzaga,,Pacific,W 89-51,200,35,68,.515,24,40,.600,11,28,.393,8,10,.800,89,20,64,.313,17,43,.395,3,21,.143,8,12,.667,51
19,2022-02-05,Gonzaga,@,BYU,W 90-57,200,32,61,.525,24,40,.600,8,21,.381,18,22,.818,90,21,71,.296,15,45,.333,6,26,.231,9,11,.818,57
20,2022-02-03,Gonzaga,@,San Diego,W 92-62,200,38,67,.567,33,55,.600,5,12,.417,11,16,.688,92,22,62,.355,17,48,.354,5,14,.357,13,19,.684,62
21,2022-01-29,Gonzaga,,Portland,W 104-72,200,34,71,.479,16,30,.533,18,41,.439,18,24,.750,104,25,70,.357,22,47,.468,3,23,.130,19,22,.864,72
22,2022-01-27,Gonzaga,,Loyola Marymount,W 89-55,200,34,55,.618,22,32,.688,12,23,.522,9,12,.750,89,22,67,.328,16,45,.356,6,22,.273,5,8,.625,55
23,2022-01-20,Gonzaga,,San Francisco,W 78-62,200,28,60,.467,23,42,.548,5,18,.278,17,22,.773,78,22,61,.361,16,40,.400,6,21,.286,12,14,.857,62
24,2022-01-15,Gonzaga,@,Santa Clara,W 115-83,200,44,75,.587,32,49,.653,12,26,.462,15,19,.789,115,31,78,.397,23,52,.442,8,26,.308,13,21,.619,83
25,2022-01-13,Gonzaga,,BYU,W 110-84,200,43,62,.694,32,41,.780,11,21,.524,13,20,.650,110,32,74,.432,19,45,.422,13,29,.448,7,10,.700,84
26,2022-01-08,Gonzaga,,Pepperdine,W 117-83,200,45,83,.542,35,58,.603,10,25,.400,17,23,.739,117,32,75,.427,22,48,.458,10,27,.370,9,12,.750,83
27,2021-12-28,Gonzaga,,North Alabama,W 93-63,200,34,69,.493,27,46,.587,7,23,.304,18,31,.581,93,23,71,.324,15,42,.357,8,29,.276,9,13,.692,63
28,2021-12-20,Gonzaga,,Northern Ariz.,W 95-49,200,33,60,.550,23,38,.605,10,22,.455,19,23,.826,95,21,65,.323,16,43,.372,5,22,.227,2,3,.667,49
29,2021-12-18,Gonzaga,N,Texas Tech,W 69-55,200,24,56,.429,11,25,.440,13,31,.419,8,10,.800,69,21,56,.375,15,37,.405,6,19,.316,7,13,.538,55
30,2021-12-09,Gonzaga,,Merrimack,W 80-55,200,30,59,.508,25,37,.676,5,22,.227,15,20,.750,80,20,63,.317,14,38,.368,6,25,.240,9,11,.818,55
31,2021-12-04,Gonzaga,N,Alabama,L 82-91,200,30,67,.448,21,44,.477,9,23,.391,13,25,.520,82,31,72,.431,18,38,.474,13,34,.382,16,22,.727,91
32,2021-11-29,Gonzaga,,Tarleton State,W 64-55,200,23,49,.469,19,30,.633,4,19,.211,14,24,.583,64,21,56,.375,16,39,.410,5,17,.294,8,14,.571,55
33,2021-11-26,Gonzaga,N,Duke,L 81-84,200,34,64,.531,28,43,.651,6,21,.286,7,11,.636,81,31,67,.463,24,44,.545,7,23,.304,15,25,.600,84
34,2021-11-23,Gonzaga,N,UCLA,W 83-63,200,28,50,.560,19,27,.704,9,23,.391,18,23,.783,83,24,69,.348,22,57,.386,2,12,.167,13,18,.722,63
35,2021-11-22,Gonzaga,N,Central Mich.,W 107-54,200,42,73,.575,33,41,.805,9,32,.281,14,25,.560,107,17,56,.304,8,33,.242,9,23,.391,11,16,.688,54
36,2021-11-19,Gonzaga,,Bellarmine,W 92-50,200,32,60,.533,21,37,.568,11,23,.478,17,21,.810,92,21,53,.396,18,28,.643,3,25,.120,5,6,.833,50
37,2021-11-15,Gonzaga,,Alcorn State,W 84-57,200,34,58,.586,27,39,.692,7,19,.368,9,12,.750,84,25,62,.403,22,51,.431,3,11,.273,4,7,.571,57
38,2021-11-13,Gonzaga,,Texas,W 86-74,200,32,59,.542,25,40,.625,7,19,.368,15,17,.882,86,26,59,.441,17,35,.486,9,24,.375,13,16,.813,74
39,2021-11-09,Gonzaga,,Utah Tech,W 97-63,200,37,68,.544,31,47,.660,6,21,.286,17,24,.708,97,23,65,.354,15,43,.349,8,22,.364,9,21,.429,63
40,2021-04-05,Gonzaga,N,Baylor,L 70-86,200,25,49,.510,20,32,.625,5,17,.294,15,21,.714,70,30,67,.448,20,44,.455,10,23,.435,16,18,.889,86
41,2021-04-03,Gonzaga,N,UCLA,W 93-90 (OT),225,37,63,.587,30,42,.714,7,21,.333,12,20,.600,93,34,59,.576,26,42,.619,8,17,.471,14,21,.667,90
42,2021-03-30,Gonzaga,N,USC,W 85-66,200,33,66,.500,26,45,.578,7,21,.333,12,17,.706,85,24,62,.387,20,47,.426,4,15,.267,14,19,.737,66
43,2021-03-28,Gonzaga,N,Creighton,W 83-65,200,34,57,.596,25,33,.758,9,24,.375,6,10,.600,83,28,69,.406,23,46,.500,5,23,.217,4,8,.500,65
44,2021-03-22,Gonzaga,N,Oklahoma,W 87-71,200,28,57,.491,20,35,.571,8,22,.364,23,26,.885,87,29,58,.500,24,42,.571,5,16,.313,8,12,.667,71
45,2021-03-20,Gonzaga,N,Norfolk State,W 98-55,200,34,61,.557,20,34,.588,14,27,.519,16,18,.889,98,19,62,.306,12,41,.293,7,21,.333,10,16,.625,55
46,2021-03-09,Gonzaga,N,BYU,W 88-78,200,29,57,.509,17,31,.548,12,26,.462,18,27,.667,88,31,67,.463,20,39,.513,11,28,.393,5,7,.714,78
47,2021-03-08,Gonzaga,N,Saint Mary's,W 78-55,200,33,62,.532,28,47,.596,5,15,.333,7,11,.636,78,22,61,.361,20,41,.488,2,20,.100,9,12,.750,55
48,2021-02-27,Gonzaga,,Loyola Marymount,W 86-69,200,28,48,.583,19,31,.613,9,17,.529,21,32,.656,86,26,53,.491,20,38,.526,6,15,.400,11,17,.647,69
49,2021-02-25,Gonzaga,,Santa Clara,W 89-75,200,33,64,.516,26,40,.650,7,24,.292,16,21,.762,89,31,67,.463,25,49,.510,6,18,.333,7,12,.583,75
50,2021-02-20,Gonzaga,,San Diego,W 106-69,200,40,72,.556,35,53,.660,5,19,.263,21,25,.840,106,28,64,.438,23,44,.523,5,20,.250,8,17,.471,69
51,2021-02-18,Gonzaga,,Saint Mary's,W 87-65,200,33,54,.611,25,40,.625,8,14,.571,13,17,.765,87,25,55,.455,19,35,.543,6,20,.300,9,10,.900,65
52,2021-02-13,Gonzaga,@,San Francisco,W 100-61,200,36,59,.610,26,38,.684,10,21,.476,18,21,.857,100,21,60,.350,14,27,.519,7,33,.212,12,15,.800,61
53,2021-02-08,Gonzaga,@,BYU,W 82-71,200,32,63,.508,26,45,.578,6,18,.333,12,21,.571,82,28,58,.483,20,37,.541,8,21,.381,7,10,.700,71
54,2021-02-04,Gonzaga,@,Pacific,W 76-58,200,25,50,.500,21,33,.636,4,17,.235,22,29,.759,76,24,61,.393,21,48,.438,3,13,.231,7,15,.467,58
55,2021-01-30,Gonzaga,@,Pepperdine,W 97-75,200,37,62,.597,28,35,.800,9,27,.333,14,17,.824,97,26,63,.413,19,41,.463,7,22,.318,16,19,.842,75
56,2021-01-28,Gonzaga,@,San Diego,W 90-62,200,34,59,.576,26,40,.650,8,19,.421,14,21,.667,90,25,57,.439,17,41,.415,8,16,.500,4,8,.500,62
57,2021-01-23,Gonzaga,,Pacific,W 95-49,200,31,63,.492,19,37,.514,12,26,.462,21,27,.778,95,19,68,.279,17,52,.327,2,16,.125,9,17,.529,49
58,2021-01-16,Gonzaga,@,Saint Mary's,W 73-59,200,28,52,.538,24,41,.585,4,11,.364,13,15,.867,73,22,63,.349,13,40,.325,9,23,.391,6,8,.750,59
59,2021-01-14,Gonzaga,,Pepperdine,W 95-70,200,34,64,.531,25,41,.610,9,23,.391,18,27,.667,95,24,59,.407,17,40,.425,7,19,.368,15,20,.750,70
